country,year,asylum_seekers,recognized_refugees,hdi
Syria,2023,172000,1350000,0.557
Afghanistan,2023,118000,840000,0.462
Venezuela,2023,96000,1610000,0.699
Myanmar,2023,63000,290000,0.608
South Sudan,2023,52000,410000,0.381
Sudan,2023,47000,220000,0.516
Somalia,2023,39000,180000,0.380
DR Congo,2023,35000,510000,0.481
Ethiopia,2023,29000,87000,0.492
Iraq,2023,26000,330000,0.673
Iran,2023,14000,840000,0.780
Eritrea,2023,13000,120000,0.493
Nigeria,2023,12000,76000,0.548
Pakistan,2023,11000,290000,0.540
Colombia,2023,9000,480000,0.758
